id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
2859127;John Regehr|Nathan Cooprider;;;;;;;http://doi.acm.org/10.1145/1366283.1366292;;SIGBED Review;journals/sigbed/CoopriderR08;2012-07-12;;;1;9;;;;;;;Using sequencing to trigger a better analysis.;;;db/journals/sigbed/sigbed5.html#CoopriderR08;5;2008
2859128;Andreas Kugel|Moritz Kretz;;;;;;;http://doi.acm.org/10.1145/2318836.2318838;;SIGBED Review;journals/sigbed/KretzK12;2012-07-12;;;2;12-16;;;;;;;Linux on FPGA platforms: control software to connect custom peripherals.;;;db/journals/sigbed/sigbed9.html#KretzK12;9;2012
2859129;Bina Ramamurthy|Dennis Brylow;;;;;;;http://doi.acm.org/10.1145/1534480.1534487;;SIGBED Review;journals/sigbed/BrylowR09;2012-07-12;;;1;7;;;;;;;Nexos: a next generation embedded systems laboratory.;;;db/journals/sigbed/sigbed6.html#BrylowR09;6;2009
2859130;Ani Nahapetian|Hyduke Noshadi|Jonathan Woodbridge|Majid Sarrafzadeh|William J. Kaiser;;;;;;;http://doi.acm.org/10.1145/1859823.1859834;;SIGBED Review;journals/sigbed/WoodbridgeNNSK09;2012-07-12;;;2;11;;;;;;;Wireless health and the smart phone conundrum.;;;db/journals/sigbed/sigbed6.html#WoodbridgeNNSK09;6;2009
2859131;Lothar Thiele|Pratyush Kumar;;;;;;;http://doi.acm.org/10.1145/2544350.2544355;;SIGBED Review;journals/sigbed/KumarT13;2013-12-13;;;3;43-48;;;;;;;Behavioural composition constructively built server algorithms.;;;db/journals/sigbed/sigbed10.html#KumarT13;10;2013
2859132;Jianhua Zhao|Lei Bu|Linzhang Wang|Qixin Wang|Tian Zhang|Xin Chen|Xuandong Li;;;;;;;http://doi.acm.org/10.1145/2000367.2000368;;SIGBED Review;journals/sigbed/BuWCWZZL11;2012-07-12;;;2;7-10;;;;;;;Toward online hybrid systems model checking of cyber-physical systems' time-bounded short-run behavior.;;;db/journals/sigbed/sigbed8.html#BuWCWZZL11;8;2011
2859133;Mikael Sjödin|Moris Behnam|Rafia Inam|Thomas Nolte;;;;;;;http://doi.acm.org/10.1145/2544350.2544354;;SIGBED Review;journals/sigbed/BehnamINS13;2013-12-13;;;3;35-42;;;;;;;Multi-core composability in the face of memory-bus contention.;;;db/journals/sigbed/sigbed10.html#BehnamINS13;10;2013
2859134;Forrest Brewer|Greg Hoover|Timothy Sherwood;;;;;;;http://doi.acm.org/10.1145/1366283.1366297;;SIGBED Review;journals/sigbed/HooverBS08;2012-07-12;;;1;14;;;;;;;Structural integrity: safety in miniature technology.;;;db/journals/sigbed/sigbed5.html#HooverBS08;5;2008
2859135;Insup Lee|Madhukar Anand;;;;;;;http://doi.acm.org/10.1145/1366283.1366308;;SIGBED Review;journals/sigbed/AnandL08;2012-07-12;;;1;25;;;;;;;Challenges and opportunities in deeply embedded systems security.;;;db/journals/sigbed/sigbed5.html#AnandL08;5;2008
2859136;Chao Wang|Xi Li|Xuehai Zhou;;;;;;;http://doi.acm.org/10.1145/2518148.2518152;;SIGBED Review;journals/sigbed/WangLZ13;2013-09-25;;;2;14;;;;;;;Heterothread: hybrid thread level parallelism on heterogeneous multicore architectures.;;;db/journals/sigbed/sigbed10.html#WangLZ13;10;2013
2859137;Cyrus Shahabi|Ramakrishna Gummadi|Ramesh Govindan|Wei Hong|Xin Li;;;;;;;http://doi.acm.org/10.1145/1121782.1121785;;SIGBED Review;journals/sigbed/GummadiLGSH05;2012-07-12;;;1;7-12;;;;;;;Energy-efficient data organization and query processing in sensor networks.;;;db/journals/sigbed/sigbed2.html#GummadiLGSH05;2;2005
2859138;Chenyang Lu|Octav Chipara;;;;;;;http://doi.acm.org/10.1145/1366283.1366298;;SIGBED Review;journals/sigbed/ChiparaL08;2012-07-12;;;1;15;;;;;;;Towards predictable wireless cyber-physical applications.;;;db/journals/sigbed/sigbed5.html#ChiparaL08;5;2008
2859139;Jukka Mäki-Turja|Mikael Sjödin|Saad Mubeen;;;;;;;http://doi.acm.org/10.1145/2038617.2038628;;SIGBED Review;journals/sigbed/MubeenMS11;2012-07-12;;;3;48-51;;;;;;;Tracing event chains for holistic response-time analysis of component-based distributed real-time systems.;;;db/journals/sigbed/sigbed8.html#MubeenMS11;8;2011
2859140;Mikael Sjödin|Rafia Inam;;;;;;;http://doi.acm.org/10.1145/2452537.2452545;;SIGBED Review;journals/sigbed/InamS12;2013-04-20;;;4;41-44;;;;;;;Implementing and evaluating communication-strategies in the ProCom component technology.;;;db/journals/sigbed/sigbed9.html#InamS12;9;2012
2859141;Frédéric Fauberteau|Manar Qamhieh|Serge Midonnet;;;;;;;http://doi.acm.org/10.1145/2038617.2038623;;SIGBED Review;journals/sigbed/FauberteauMQ11;2012-07-12;;;3;28-31;;;;;;;Partitioned scheduling of parallel real-time tasks on multiprocessor systems.;;;db/journals/sigbed/sigbed8.html#FauberteauMQ11;8;2011
2859142;Ashok Agrawala|Lui Sha;;;;;;;http://doi.acm.org/10.1145/1164050.1164054;;SIGBED Review;journals/sigbed/ShaA06;2012-07-12;;;3;21-24;;;;;;;Real time and embedded (RTE) GENI.;;;db/journals/sigbed/sigbed3.html#ShaA06;3;2006
2859143;Jogesh K. Muppala;;;;;;;http://doi.acm.org/10.1145/1217809.1217812;;SIGBED Review;journals/sigbed/Muppala07;2012-07-12;;;1;11-16;;;;;;;Bringing embedded software closer to computer science students.;;;db/journals/sigbed/sigbed4.html#Muppala07;4;2007
2859144;Linwei Niu|Luis Medina|Yiran Chen;;;;;;;http://doi.acm.org/10.1145/2518148.2518164;;SIGBED Review;journals/sigbed/NiuMC13;2013-09-25;;;2;26;;;;;;;Reliability-aware energy minimization for real-time embedded systems with window-constraints.;;;db/journals/sigbed/sigbed10.html#NiuMC13;10;2013
2859145;Farrukh Mirza|Mélanie Bouroche|Vinny Cahill;;;;;;;http://doi.acm.org/10.1145/2367580.2367584;;SIGBED Review;journals/sigbed/MirzaBC12;2012-10-21;;;3;24-28;;;;;;;Unstable path routing in urban-scale WSN.;;;db/journals/sigbed/sigbed9.html#MirzaBC12;9;2012
2859146;Kiyofumi Tanaka;;;;;;;http://doi.acm.org/10.1145/2583687.2583697;;SIGBED Review;journals/sigbed/Tanaka13;2014-03-16;;;4;41-44;;;;;;;Adaptive EDF: using predictive execution time.;;;db/journals/sigbed/sigbed10.html#Tanaka13;10;2013
2859147;Arno Luppold|Benjamin Menhorn|Frank Slomka|Heiko Falk;;;;;;;http://doi.acm.org/10.1145/2583687.2583701;;SIGBED Review;journals/sigbed/LuppoldMFS13;2014-03-16;;;4;57-60;;;;;;;A new concept for system-level design of runtime reconfigurable real-time systems.;;;db/journals/sigbed/sigbed10.html#LuppoldMFS13;10;2013
2859148;David Sheldon|Frank Vahid|Scott Sirowy|Tony Givargis;;;;;;;http://doi.acm.org/10.1145/1534480.1534486;;SIGBED Review;journals/sigbed/SirowySGV09;2012-07-12;;;1;6;;;;;;;Virtual microcontrollers.;;;db/journals/sigbed/sigbed6.html#SirowySGV09;6;2009
2859149;Tarek F. Abdelzaher;;;;;;;http://doi.acm.org/10.1145/1164050.1164051;;SIGBED Review;journals/sigbed/Abdelzaher06;2012-07-12;;;3;;;;;;;;Introduction to the special issue.;;;db/journals/sigbed/sigbed3.html#Abdelzaher06;3;2006
2859150;Amjad Mohsen|Jochen Brandt;;;;;;;http://doi.acm.org/10.1145/1851340.1851347;;SIGBED Review;journals/sigbed/MohsenB09;2012-07-12;;;3;5;;;;;;;Reusable and architecture-neutral virtual communication interface for embedded systems.;;;db/journals/sigbed/sigbed6.html#MohsenB09;6;2009
2859151;Anthony D. Wood|John A. Stankovic;;;;;;;http://doi.acm.org/10.1145/1366283.1366303;;SIGBED Review;journals/sigbed/WoodS08;2012-07-12;;;1;20;;;;;;;Human in the loop: distributed data streams for immersive cyber-physical systems.;;;db/journals/sigbed/sigbed5.html#WoodS08;5;2008
2859152;H. Shrikumar;;;;;;;http://doi.acm.org/10.1145/1121802.1121806;;SIGBED Review;journals/sigbed/Shrikumar05;2012-07-12;;;3;13-19;;;;;;;De-layered grid storage server.;;;db/journals/sigbed/sigbed2.html#Shrikumar05;2;2005
2859153;Lance C. Pérez|Steve Goddard|Ying Tan;;;;;;;http://doi.acm.org/10.1145/1366283.1366309;;SIGBED Review;journals/sigbed/TanGP08;2012-07-12;;;1;26;;;;;;;A prototype architecture for cyber-physical systems.;;;db/journals/sigbed/sigbed5.html#TanGP08;5;2008
2859154;Minyoung Kim;;;;;;;http://doi.acm.org/10.1145/1366283.1366307;;SIGBED Review;journals/sigbed/Kim08;2012-07-12;;;1;24;;;;;;;xTune: online verifiable cross-layer adaptation for distributed real-time embedded systems.;;;db/journals/sigbed/sigbed5.html#Kim08;5;2008
2859155;Sandeep Neema;;;;;;;http://doi.acm.org/10.1145/1295464.1295465;;SIGBED Review;journals/sigbed/Neema07;2012-07-12;;;2;;;;;;;;Introduction to the special issue.;;;db/journals/sigbed/sigbed4.html#Neema07;4;2007
2859156;Lui Sha;;;;;;;http://doi.acm.org/10.1145/1121554.1121557;;SIGBED Review;journals/sigbed/Sha04;2012-07-12;;;1;13-15;;;;;;;Open challenges in real time embedded systems.;;;db/journals/sigbed/sigbed1.html#Sha04;1;2004
2859157;Julian M. Goldman|Susan F. Whitehead;;;;;;;http://doi.acm.org/10.1145/1859823.1859828;;SIGBED Review;journals/sigbed/GoldmanW09;2012-07-12;;;2;5;;;;;;;MD PnP program updates: standards, policy, and collaborations.;;;db/journals/sigbed/sigbed6.html#GoldmanW09;6;2009
2859158;Ibrahim Habli|Tim Kelly;;;;;;;http://doi.acm.org/10.1145/1183088.1183090;;SIGBED Review;journals/sigbed/HabliK06;2012-07-12;;;4;1-8;;;;;;;Process and product certification arguments: getting the balance right.;;;db/journals/sigbed/sigbed3.html#HabliK06;3;2006
2859159;David Jeff Jackson|Kenneth G. Ricks|William A. Stapleton;;;;;;;http://doi.acm.org/10.1145/1121812.1121824;;SIGBED Review;journals/sigbed/RicksJS05;2012-07-13;;;4;63-69;;;;;;;An evaluation of the VME architecture for use in embedded systems education.;;;db/journals/sigbed/sigbed2.html#RicksJS05;2;2005
2859160;Björn Andersson|Gurulingesh Raravi|Konstantinos Bletsas;;;;;;;http://doi.acm.org/10.1145/2038617.2038621;;SIGBED Review;journals/sigbed/RaraviAB11;2012-07-12;;;3;19-22;;;;;;;Provably good task assignment on heterogeneous multiprocessor platforms for a restricted case but with a stronger adversary.;;;db/journals/sigbed/sigbed8.html#RaraviAB11;8;2011
2859161;Jukka Mäki-Turja|Mikael Sjödin|Saad Mubeen;;;;;;;http://doi.acm.org/10.1145/2452537.2452539;;SIGBED Review;journals/sigbed/MubeenMS12;2013-04-20;;;4;17-20;;;;;;;Translating end-to-end timing requirements to timing analysis model in component-based distributed real-time systems.;;;db/journals/sigbed/sigbed9.html#MubeenMS12;9;2012
2859162;Kuai Xu|Linwei Niu;;;;;;;http://doi.acm.org/10.1145/2518148.2518155;;SIGBED Review;journals/sigbed/NiuX13;2013-09-25;;;2;17;;;;;;;Improving schedulability and energy efficiency for real-time systems with (m, k)-guarantee.;;;db/journals/sigbed/sigbed10.html#NiuX13;10;2013
2859163;Junsung Kim|Ragunathan Rajkumar|Shinpei Kato;;;;;;;http://doi.acm.org/10.1145/2492385.2492387;;SIGBED Review;journals/sigbed/KimRK13;2013-07-22;;;1;14-17;;;;;;;Towards adaptive GPU resource management for embedded real-time systems.;;;db/journals/sigbed/sigbed10.html#KimRK13;10;2013
2859164;Christian Fraboul|Fabrice Frances|Thomas Ferrandiz;;;;;;;http://doi.acm.org/10.1145/2038617.2038627;;SIGBED Review;journals/sigbed/FerrandizFF11;2012-07-12;;;3;44-47;;;;;;;Using Network Calculus to compute end-to-end delays in SpaceWire networks.;;;db/journals/sigbed/sigbed8.html#FerrandizFF11;8;2011
2859165;Björn B. Brandenburg;;;;;;;http://doi.acm.org/10.1145/2518148.2518157;;SIGBED Review;journals/sigbed/Brandenburg13;2013-09-25;;;2;19;;;;;;;An asymptotically optimal real-time locking protocol for clustered scheduling under suspension-aware analysis.;;;db/journals/sigbed/sigbed10.html#Brandenburg13;10;2013
2859166;Laurent George 0001|Manar Qamhieh|Serge Midonnet;;;;;;;http://doi.acm.org/10.1145/2452537.2452541;;SIGBED Review;journals/sigbed/QamhiehMG12;2013-08-27;;;4;25-28;;;;;;;Dynamic scheduling algorithm for parallel real-time graph tasks.;;;db/journals/sigbed/sigbed9.html#QamhiehMG12;9;2012
2859167;Carolyn McGregor|J. Mikael Eklund;;;;;;;http://doi.acm.org/10.1145/1859823.1859832;;SIGBED Review;journals/sigbed/EklundM09;2012-07-12;;;2;9;;;;;;;Standards for physiological data transmission and archiving for the support of the service of critical care.;;;db/journals/sigbed/sigbed6.html#EklundM09;6;2009
2859168;Marco Panunzio|Tullio Vardanega;;;;;;;http://doi.acm.org/10.1145/1967021.1967022;;SIGBED Review;journals/sigbed/PanunzioV11;2012-07-12;;;1;6-13;;;;;;;Pitfalls and misconceptions in component-oriented approaches for real-time embedded systems: lessons learned and solutions.;;;db/journals/sigbed/sigbed8.html#PanunzioV11;8;2011
2859169;Christian Schwarz|Dieter Zöbel|Marco Wagner;;;;;;;http://doi.acm.org/10.1145/2583687.2583699;;SIGBED Review;journals/sigbed/SchwarzZW13;2014-03-16;;;4;49-52;;;;;;;Formal verification of service-oriented adaptive driver assistance systems.;;;db/journals/sigbed/sigbed10.html#SchwarzZW13;10;2013
2859170;Jwu-Sheng Hu|Yu-Lun Huang;;;;;;;http://doi.acm.org/10.1145/1534480.1534483;;SIGBED Review;journals/sigbed/HuangH09;2012-07-12;;;1;3;;;;;;;Hands-on oriented curriculum and laboratory development for embedded system design.;;;db/journals/sigbed/sigbed6.html#HuangH09;6;2009
2859171;Hyun-Wook Jin;;;;;;;http://doi.acm.org/10.1145/2583687.2583693;;SIGBED Review;journals/sigbed/Jin13;2014-03-16;;;4;25-28;;;;;;;Fault-tolerant hierarchical real-time scheduling with backup partitions on single processor.;;;db/journals/sigbed/sigbed10.html#Jin13;10;2013
2859172;G. Varaprasad;;;;;;;http://doi.acm.org/10.1145/1851340.1851343;;SIGBED Review;journals/sigbed/Varaprasad09;2012-07-12;;;3;2;;;;;;;Wireless sensor network for volcano environments.;;;db/journals/sigbed/sigbed6.html#Varaprasad09;6;2009
2859173;Sang Hyuk Son|Vibha Prasad;;;;;;;http://doi.acm.org/10.1145/1366283.1366285;;SIGBED Review;journals/sigbed/PrasadS08;2012-07-12;;;1;2;;;;;;;Design suite for deeply embedded cyber physical systems.;;;db/journals/sigbed/sigbed5.html#PrasadS08;5;2008
2859174;Canan Tosunoglu Blake|Eileen Scanlon;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00239.x;;J. Comp. Assisted Learning;journals/jcal/BlakeS07;2011-04-14;;;6;491-502;;;;;;;Reconsidering simulations in science education at a distance: features of effective use.;;;db/journals/jcal/jcal23.html#BlakeS07;23;2007
2859175;R. Moreno;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2006.00170.x;;J. Comp. Assisted Learning;journals/jcal/Moreno06;2010-12-13;;;3;149-158;;;;;;;Does the modality principle hold for different media? A test of the method-affects-learning hypothesis.;;;db/journals/jcal/jcal22.html#Moreno06;22;2006
2859176;J. C. C. Chan|Khe Foon Hew|Wing Sum Cheung;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2009.00321.x;;J. Comp. Assisted Learning;journals/jcal/ChanHC09;2011-04-04;;;5;438-452;;;;;;;Asynchronous online discussion thread development: examining growth patterns and peer-facilitation techniques.;;;db/journals/jcal/jcal25.html#ChanHC09;25;2009
2859177;Ana Alzira Kleer|Arion de Castro Kurtz dos Santos|Marcelo Resende Thielo;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1997.00005.x;;J. Comp. Assisted Learning;journals/jcal/SantosTK97;2004-04-22;;;1;35-47;;;;;;;Students modelling environmental issues.;;;db/journals/jcal/jcal13.html#SantosTK97;13;1997
2859178;Don Knezek|Juliana Raffaghelli|Peter Albion|Peter Twining;;;;;;;http://dx.doi.org/10.1111/jcal.12031;;J. Comp. Assisted Learning;journals/jcal/TwiningRAK13;2013-09-26;;;5;426-437;;;;;;;Moving education into the digital age: the contribution of teachers' professional development.;;;db/journals/jcal/jcal29.html#TwiningRAK13;29;2013
2859179;Andrew Ravenscroft|Mark P. Matheson;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2001.00215.x;;J. Comp. Assisted Learning;journals/jcal/RavenscroftM02;2004-08-25;;;1;93-101;;;;;;;Developing and evaluating dialogue games for collaborative e-learning.;;;db/journals/jcal/jcal18.html#RavenscroftM02;18;2002
2859180;Cyril Rebetez|Gaëlle Molinari|Mireille Bétrancourt|Mirweis Sangin|Pierre Dillenbourg;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2008.00275.x;;J. Comp. Assisted Learning;journals/jcal/SanginDRBM08;2011-04-04;;;5;394-406;;;;;;;The effects of animations on verbal interaction in computer supported collaborative learning.;;;db/journals/jcal/jcal24.html#SanginDRBM08;24;2008
2859181;;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1997.d01-220.x;;J. Comp. Assisted Learning;journals/jcal/X97c;2004-04-22;;;4;207-209;;;;;;;Guest Editorial: Computer-mediated communication in Higher Education.;;;db/journals/jcal/jcal13.html#X97c;13;1997
2859182;David J. Reid|Jianwei Zhang|Qi Chen|Yanquing Sun;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00062.x;;J. Comp. Assisted Learning;journals/jcal/ZhangCSR04;2004-08-25;;;4;269-282;;;;;;;Triple scheme of learning support design for scientific discovery learning based on computer simulation: experimental research.;;;db/journals/jcal/jcal20.html#ZhangCSR04;20;2004
2859183;Chris Jones;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00270.x;;J. Comp. Assisted Learning;journals/jcal/Jones08;2011-04-04;;;2;87-89;;;;;;;Networked learning: weak links and boundaries.;;;db/journals/jcal/jcal24.html#Jones08;24;2008
2859184;Adrian Mee|Kit Logan|Martin Oliver|Rose Luckin|Wilma Clark;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2008.00305.x;;J. Comp. Assisted Learning;journals/jcal/ClarkLLMO09;2011-04-04;;;1;56-69;;;;;;;Beyond Web 2.0: mapping the technology landscapes of young learners.;;;db/journals/jcal/jcal25.html#ClarkLLMO09;25;2009
2859185;N. Marriott|Neil Selwyn|P. Marriott;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2001.00206.x;;J. Comp. Assisted Learning;journals/jcal/SelwynMM02;2004-08-25;;;1;44-45;;;;;;;Home computers & university ICT use.;;;db/journals/jcal/jcal18.html#SelwynMM02;18;2002
2859186;C.-P. Lin|L.-H. Wong|Y.-J. Shao;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00421.x;;J. Comp. Assisted Learning;journals/jcal/LinWS12;2012-04-26;;;2;99-113;;;;;;;Comparison of 1: 1 and 1: m CSCL environment for collaborative concept mapping.;;;db/journals/jcal/jcal28.html#LinWS12;28;2012
2859187;C. Hewson;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00473.x;;J. Comp. Assisted Learning;journals/jcal/Hewson12;2012-11-02;;;5;488-498;;;;;;;Can online course-based assessment methods be fair and equitable? Relationships between students' preferences and performance within online and offline assessments.;;;db/journals/jcal/jcal28.html#Hewson12;28;2012
2859188;Ard W. Lazonder;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.2000.00145.x;;J. Comp. Assisted Learning;journals/jcal/Lazonder00;2004-08-25;;;4;326-335;;;;;;;Exploring novice users' training needs in searching information on the WWW.;;;db/journals/jcal/jcal16.html#Lazonder00;16;2000
2859189;Maria Bannert|Peter Reimann;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.2000.00140.x;;J. Comp. Assisted Learning;journals/jcal/BannertR00;2004-08-25;;;4;281-283;;;;;;;Guest Editorial: approaches to the design of software training.;;;db/journals/jcal/jcal16.html#BannertR00;16;2000
2859190;Alessandro Antonietti|Chiara Rasi|Ernesto Imperio|Marco Sacco;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2001.00167.x;;J. Comp. Assisted Learning;journals/jcal/AntoniettiIRS01;2013-11-07;;;2;142-155;;;;;;;Virtual reality and hypermedia in learning to use a turning lathe.;;;db/journals/jcal/jcal17.html#AntoniettiIRS01;17;2001
2859191;Mauri Åhlberg|Nigel R. Riley;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00090.x;;J. Comp. Assisted Learning;journals/jcal/RileyA04;2004-08-25;;;4;244-256;;;;;;;Investigating the use of ICT-based concept mapping techniques on creativity in literacy tasks.;;;db/journals/jcal/jcal20.html#RileyA04;20;2004
2859192;Christoph Meier|Dieter Euler|Sabine Seufert;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00442.x;;J. Comp. Assisted Learning;journals/jcal/MeierSE12;2012-02-03;;;1;52-64;;;;;;;Quality assessment and development in the course of the EFMD CEL programme accreditation.;;;db/journals/jcal/jcal28.html#MeierSE12;28;2012
2859193;A. Buchter|Rebekka Dalmer|Renate Schulz-Zander;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2002.002.x;;J. Comp. Assisted Learning;journals/jcal/Schulz-ZanderBD02;2004-08-25;;;4;438-448;;;;;;;The role of ICT as a promoter of students' cooperation.;;;db/journals/jcal/jcal18.html#Schulz-ZanderBD02;18;2002
2859194;Christoph Held|Ulrike Cress;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2012.00491.x;;J. Comp. Assisted Learning;journals/jcal/CressH13;2013-04-16;;;3;235-247;;;;;;;Harnessing collective knowledge inherent in tag clouds.;;;db/journals/jcal/jcal29.html#CressH13;29;2013
2859195;Sarah J. Howie;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2010.00377.x;;J. Comp. Assisted Learning;journals/jcal/Howie10;2011-04-04;;;6;507-522;;;;;;;ICT-supported pedagogical policies and practices in South Africa and Chile: emerging economies and realities.;;;db/journals/jcal/jcal26.html#Howie10;26;2010
2859196;A. L.-E. Liu|David Wible|Nai-Lung Tsao;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00413.x;;J. Comp. Assisted Learning;journals/jcal/WibleLT11;2011-11-14;;;6;530-543;;;;;;;A browser-based approach to incidental individualization of vocabulary learning.;;;db/journals/jcal/jcal27.html#WibleLT11;27;2011
2859197;A. S. Chen|N.-S. Chen|S.-C. Yang;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2002.00239.x;;J. Comp. Assisted Learning;journals/jcal/YangCC02;2004-08-25;;;3;272-281;;;;;;;A student-generated web-based oral history project.;;;db/journals/jcal/jcal18.html#YangCC02;18;2002
2859198;Julia Bachmann|Michael Trimmel;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00076.x;;J. Comp. Assisted Learning;journals/jcal/TrimmelB04;2004-08-25;;;2;151-158;;;;;;;Cognitive, social, motivational and health aspects of students in laptop classrooms.;;;db/journals/jcal/jcal20.html#TrimmelB04;20;2004
2859199;Agneta Gulz|Björn Sjödén|Magnus Haake|Paulina Lindström;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2010.00380.x;;J. Comp. Assisted Learning;journals/jcal/LindstromGHS11;2012-02-18;;;1;90-102;;;;;;;Matching and mismatching between the pedagogical design principles of a math game and the actual practices of play.;;;db/journals/jcal/jcal27.html#LindstromGHS11;27;2011
2859200;E. Ossiannilsson|L. Landgren;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00439.x;;J. Comp. Assisted Learning;journals/jcal/OssiannilssonL12;2012-02-03;;;1;42-51;;;;;;;Quality in e-learning - a conceptual framework based on experiences from three international benchmarking projects.;;;db/journals/jcal/jcal28.html#OssiannilssonL12;28;2012
2859201;André Tricot|Corinne Pierre-Demarcy|Rachid El Boussarghini;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.2000.00122.x;;J. Comp. Assisted Learning;journals/jcal/TricotPB00;2004-04-26;;;2;102-113;;;;;;;Specific help devices for educational hypermedia.;;;db/journals/jcal/jcal16.html#TricotPB00;16;2000
2859202;Charoula Angeli|Nicos Valanides;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2005.00135.x;;J. Comp. Assisted Learning;journals/jcal/AngeliV05;2010-12-12;;;4;292-302;;;;;;;Preservice elementary teachers as information and communication technology designers: an instructional systems design model based on an expanded view of pedagogical content knowledge.;;;db/journals/jcal/jcal21.html#AngeliV05;21;2005
2859203;P. John|Pat Triggs;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00101.x;;J. Comp. Assisted Learning;journals/jcal/TriggsJ04;2010-12-12;;;6;426-439;;;;;;;From transaction to transformation: information and communication technology, professional development and the formation of communities of practice.;;;db/journals/jcal/jcal20.html#TriggsJ04;20;2004
2859204;Chin-Chung Tsai|Regina Ju-chun Chu;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2009.00324.x;;J. Comp. Assisted Learning;journals/jcal/ChuT09;2011-04-04;;;5;489-501;;;;;;;Self-directed learning readiness, Internet self-efficacy and preferences towards constructivist Internet-based learning environments among higher-aged adults.;;;db/journals/jcal/jcal25.html#ChuT09;25;2009
2859205;Camila Cortez|G. Woywood|Miguel Nussbaum|R. Aravena;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2008.00298.x;;J. Comp. Assisted Learning;journals/jcal/CortezNWA09;2011-04-04;;;2;126-142;;;;;;;Learning to collaborate by collaborating: a face-to-face collaborative activity for measuring and learning basics about teamwork.;;;db/journals/jcal/jcal25.html#CortezNWA09;25;2009
2859206;J. Vincent;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.2001.00179.x;;J. Comp. Assisted Learning;journals/jcal/Vincent01;2004-08-25;;;3;242-250;;;;;;;The role of visually rich technology in facilitating children's writing.;;;db/journals/jcal/jcal17.html#Vincent01;17;2001
2859207;Fezile Ozdamli|Hüseyin Uzunboylu;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00415.x;;J. Comp. Assisted Learning;journals/jcal/UzunboyluO11;2013-07-10;;;6;544-556;;;;;;;Teacher perception for m-learning: scale development and teachers' perceptions.;;;db/journals/jcal/jcal27.html#UzunboyluO11;27;2011
2859208;S. C. Li|T. H. Choi;;;;;;;http://dx.doi.org/10.1111/jcal.12010;;J. Comp. Assisted Learning;journals/jcal/LiC14;2014-03-25;;;1;1-16;;;;;;;Does social capital matter? A quantitative approach to examining technology infusion in schools.;;;db/journals/jcal/jcal30.html#LiC14;30;2014
2859209;Olivera Marjanovic;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1999.152085.x;;J. Comp. Assisted Learning;journals/jcal/Marjanovic99;2004-04-22;;;2;129-138;;;;;;;Learning and teaching in a synchronous collaborative environment.;;;db/journals/jcal/jcal15.html#Marjanovic99;15;1999
2859210;M. Harrington|P. White|Y. Wang;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00475.x;;J. Comp. Assisted Learning;journals/jcal/WangHW12;2012-11-02;;;4;396-410;;;;;;;Detecting breakdowns in local coherence in the writing of Chinese English learners.;;;db/journals/jcal/jcal28.html#WangHW12;28;2012
2859211;Joke Voogt;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2010.00373.x;;J. Comp. Assisted Learning;journals/jcal/Voogt10;2011-04-04;;;6;453-464;;;;;;;Teacher factors associated with innovative curriculum goals and pedagogical practices: differences between extensive and non-extensive ICT-using science teachers.;;;db/journals/jcal/jcal26.html#Voogt10;26;2010
